Utterance_ID,Language,Learner_Audio,Error_Tokens_Count,Pronunciation_Accuracy (%),Mean_Mismatch_Intensity
sanskrit_shloka4,Sanskrit,23ea4120-59ec-4a98-96bf-2694a7f75a1c.weba,26,59.38,0.3755
sanskrit_shloka4,Sanskrit,2b06f6d5-8c32-4c4f-b9f9-e46190830a71.weba,8,87.5,0.1128
sanskrit_shloka4,Sanskrit,454af37c-3a92-45de-930d-af7ec99a9aba.weba,24,62.5,0.3325
sanskrit_shloka4,Sanskrit,6f1eb475-da00-4240-beb5-883aa1dfde6b.weba,29,54.69,0.4583
sanskrit_shloka4,Sanskrit,9eed4af5-dd05-41ba-8f37-26af66098d76.weba,12,81.25,0.2161
sanskrit_shloka4,Sanskrit,ac6182b6-6436-4233-9cb2-3fa3d651637a.weba,13,79.69,0.212
sanskrit_shloka4,Sanskrit,c3df3bf3-b178-4a0b-b986-3a8a44ce890a.weba,7,89.06,0.1108
sanskrit_shloka4,Sanskrit,ca9827fc-0b5c-4d8f-a24c-421604880b80.weba,35,45.31,0.5173
sanskrit_shloka4,Sanskrit,ccb99c96-b79d-4db5-9c9a-0e7556430bcd.weba,33,48.44,0.5048
sanskrit_shloka4,Sanskrit,de1b9891-cef1-431c-ae4e-94d434f2cd44.weba,18,71.88,0.2686
sanskrit_shloka5,Sanskrit,1888d006-3344-49db-af07-6a5753b92e1a.weba,32,50.0,0.5028
sanskrit_shloka5,Sanskrit,1fb75b4a-66f5-4509-a485-bf3f4f07f77c.weba,3,95.31,0.0435
sanskrit_shloka5,Sanskrit,22dde9f4-34ab-4703-a3b4-150b431d3961.weba,13,79.69,0.2103
sanskrit_shloka5,Sanskrit,3ea52ff7-ce4e-4c1e-8945-a3d97e7aa38a.weba,8,87.5,0.1343
sanskrit_shloka5,Sanskrit,56ec93f8-c9fe-4f77-83f0-7269f892cd69.weba,27,57.81,0.435
sanskrit_shloka5,Sanskrit,af328e8a-b15f-4320-ab32-1fcceebf2f48.weba,12,81.25,0.1988
sanskrit_shloka5,Sanskrit,d7eda512-e86a-4bb4-a6b5-0e477914f9de.weba,25,60.94,0.3721
sanskrit_shloka5,Sanskrit,e2b0f81a-7095-4add-b664-b4c26b036336.weba,35,45.31,0.5659
telugu_padyam1,Telugu,279096ad-95b7-4012-b1eb-f396bc84f421.weba,24,62.5,0.3669
telugu_padyam1,Telugu,29c21c42-5ab3-4b48-b1f3-0e4bba401d7c.weba,22,65.62,0.3418
telugu_padyam1,Telugu,3a0e866f-6b02-41bd-bd5c-843c294e6dbf.weba,6,90.62,0.0872
telugu_padyam1,Telugu,7a957d30-4f96-425c-8d52-d2b89fcd2542.weba,11,82.81,0.1571
telugu_padyam1,Telugu,99fea830-94e4-4ab9-952c-2c5cc4d713cc.weba,16,75.0,0.256
telugu_padyam1,Telugu,b5cfcae1-c41e-41e1-83e7-568106377947.weba,11,82.81,0.1875
telugu_padyam1,Telugu,bd36fc31-8af5-4027-adb1-c674d5b43d93.weba,29,54.69,0.4409
telugu_padyam1,Telugu,c2d2cd51-db20-40ad-b5f9-9bb5217cbb3c.weba,9,85.94,0.1627
telugu_padyam1,Telugu,d0dc59e5-a1e0-4374-8801-3ebc1cedf2f0.weba,23,64.06,0.365
telugu_padyam1,Telugu,d922fff1-3ec8-4c16-8909-927b8d1cbdfc.weba,12,81.25,0.1829
telugu_padyam2,Telugu,1f43458a-30de-493b-86fe-6423a221a3a0.weba,4,93.75,0.0697
telugu_padyam2,Telugu,3613a60b-a5a3-4ce0-9705-fcc814ebdfbc.weba,10,84.38,0.1577
telugu_padyam2,Telugu,398201b0-f56f-4565-aafe-91386fa1e2bc.weba,8,87.5,0.1463
telugu_padyam2,Telugu,4fbd2787-0319-42b1-88aa-ca66a8f4e319.weba,5,92.19,0.0917
telugu_padyam2,Telugu,54e6efe6-f6c8-4c2c-b98c-ea0275728cab.weba,21,67.19,0.3466
telugu_padyam2,Telugu,9b940750-24f0-476a-817a-cf9fe30b83a7.weba,25,60.94,0.3923
telugu_padyam2,Telugu,a68d1be3-399e-47af-b1d6-0b482ac86e72.weba,5,92.19,0.0919
telugu_padyam2,Telugu,c9d68d6b-29aa-4ac7-81b3-8693bd01bdea.weba,1,98.44,0.0164
telugu_padyam2,Telugu,de46b0af-32d8-4a77-b941-f3fa1f82913a.weba,20,68.75,0.316
telugu_padyam3,Telugu,060d78eb-fa31-487e-830e-880cb791810a.weba,29,54.69,0.4686
telugu_padyam3,Telugu,06fe34f8-a336-4893-980d-d14ec3b40eaf.weba,9,85.94,0.1414
telugu_padyam3,Telugu,09f4017a-0ea0-4668-93ab-794fa755d668.weba,4,93.75,0.0539
telugu_padyam3,Telugu,67819c2d-4d99-4390-8b2b-3b9eb610e53a.weba,17,73.44,0.2682
telugu_padyam3,Telugu,919311e1-8203-4e58-97e4-862db64f5b78.weba,14,78.12,0.2009
telugu_padyam3,Telugu,a4371497-a5d9-4923-92e8-aca3cad45104.weba,10,84.38,0.1573
telugu_padyam3,Telugu,a54cf740-efa4-4369-a42e-db7dec9edc19.weba,32,50.0,0.4943
telugu_padyam3,Telugu,dfbfa6ff-392e-4cf3-b456-8782fe92de52.weba,18,71.88,0.2911
telugu_padyam4,Telugu,1457fe1b-4c4b-4c8f-873c-c5d9306819aa.weba,11,82.81,0.136
telugu_padyam4,Telugu,70631d05-a771-47c1-be10-ccbcb9ef10ea.weba,7,89.06,0.1385
telugu_padyam4,Telugu,789d4877-e3bc-4ed9-8d82-0c6934f54e4e.weba,6,90.62,0.0991
telugu_padyam4,Telugu,78d41f17-f744-4d25-98cd-84a338394746.weba,14,78.12,0.2139
telugu_padyam4,Telugu,7cb1a74a-d6a5-4ab3-a4e9-efb26745bdbb.weba,22,65.62,0.3421
telugu_padyam4,Telugu,9e91eea0-d2dc-4f06-bbf7-1b42bfe72ad9.weba,19,70.31,0.2948
telugu_padyam4,Telugu,b41742fd-4b4a-4d3b-917c-93e3f1819567.weba,27,57.81,0.4276
telugu_padyam5,Telugu,4752cf19-452e-4579-bd97-3adbfd57f398.weba,10,84.38,0.1613
telugu_padyam5,Telugu,8e329c09-db60-4545-9902-330b588ff431.weba,12,81.25,0.165
telugu_padyam5,Telugu,95c443a5-9af2-48c2-b501-50ca634856f0.weba,24,62.5,0.3666
telugu_padyam5,Telugu,995f64c7-97d8-44ac-b8d7-68daf02d6bef.weba,25,60.94,0.4228
telugu_padyam5,Telugu,d1e383c5-9391-44a7-a4c0-a8eded145570.weba,15,76.56,0.2282
telugu_padyam5,Telugu,df932376-eb34-4850-b979-6ed404b0bfc9.weba,23,64.06,0.3432
telugu_padyam5,Telugu,f3a3d25f-927a-4914-b5fd-cd4909c83c2d.weba,13,79.69,0.1973
telugu_padyam6,Telugu,288c23c2-e27e-4906-bb86-4ed922e73c94.weba,14,78.12,0.2302
telugu_padyam6,Telugu,2e43dc45-f683-4702-9f2a-af18c4dfbb04.weba,9,85.94,0.1586
telugu_padyam6,Telugu,47303f43-3091-43ee-b3e6-9bb176ecec07.weba,17,73.44,0.2437
telugu_padyam6,Telugu,7a091762-c13a-4240-9704-bd7738d2cd16.weba,4,93.75,0.0638
telugu_padyam6,Telugu,acb62e8a-6fdb-4b28-aa2a-67a07e71313b.weba,3,95.31,0.0425
telugu_padyam6,Telugu,b7f27979-e19d-44e9-9c0d-86a958db766e.weba,18,71.88,0.2892
telugu_padyam6,Telugu,f07a0ec3-3013-44d5-98d3-53e7ced8f25a.weba,5,92.19,0.0679
